price,location,mileage,transmission,drivetrain,fuel type,major options,brand,color,no_of_features,engine-hp,engine-l,engine-type,age
38900,New Westminster,26000,Automatic,Four-Wheel Drive,Flex Fuel Vehicle,"Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Heated Seats, Android Auto, CarPlay",RAM,Blue,7.0,305.0,3.6,V6,3
28900,Port Coquitlam,49000,Automatic,All-Wheel Drive,Gasoline,"Sport Package, Bluetooth, Backup Camera, Heated Seats, Alloy Wheels",Lexus,Silver,5.0,235.0,2.0,I4,7
11980,Burnaby,216288,Automatic,Rear-Wheel Drive,Gasoline,Alloy Wheels,Toyota,Red,1.0,190.0,3.4,V6,19
16888,Victoria,144718,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Parking Sensors, Heated Seats",INFINITI,Black,8.0,330.0,3.7,V6,7
38995,Vancouver,155000,Automatic,Front-Wheel Drive,Diesel,"Bluetooth, Backup Camera",Mercedes-Benz,Other,2.0,188.0,3.0,V6,4
42485,Chilliwack,32575,Automatic,Rear-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Heated Seats",BMW,Gray,7.0,300.0,3.0,I6,4
38990,New Westminster,26000,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Heated Seats, Backup Camera",GMC,Black,3.0,355.0,5.3,V8,3
72995,Maple Ridge,3800,Automatic,Four-Wheel Drive,Diesel,Backup Camera,RAM,Blue,1.0,370.0,6.7,I6,2
17888,Richmond,75000,Manual,Front-Wheel Drive,Gasoline,"Bluetooth, Leather Seats, Backup Camera, Heated Seats, Alloy Wheels",Ford,White,5.0,252.0,2.0,I4,6
59833,Vancouver,11030,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Remote Start, Navigation System, Heated Seats",Jeep,Black,5.0,285.0,3.6,V6,1
33799,Richmond,50146,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof, Navigation System, Alloy Wheels, Multi Zone Climate Control",Nissan,Gray,6.0,284.0,3.5,V6,3
25900,Langley City,16500,Manual,Front-Wheel Drive,Gasoline,,MINI,Gray,-1.0,134.0,1.5,I3,1
29990,Surrey,3358,Automatic,All-Wheel Drive,Gasoline,"Backup Camera, Sunroof/Moonroof, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay",Kia,Gray,6.0,146.0,2.0,I4,1
